FIDE,Name,Title,Fed,Std.,Rpd.,Blz.,B-Year,Rank
1503014,Magnus Carlsen,GM,NOR,2839,2809,2881,1990,
2016192,Hikaru Nakamura,GM,USA,2807,2738,2838,1987,
2020009,Fabiano Caruana,GM,USA,2789,2767,2726,1992,
25059530,Praggnanandhaa R,GM,IND,2785,2691,2707,2005,
35009192,Erigaisi Arjun,GM,IND,2771,2708,2750,2003,
46616543,Gukesh D,GM,IND,2767,2693,2629,2006,
5202213,Wesley So,GM,USA,2756,2702,2791,1993,
12573981,Alireza Firouzja,GM,FRA,2754,2754,2814,2003,
8603405,Yi Wei,GM,CHN,2753,2758,2695,1999,
12940690,Vincent Keymer,GM,GER,2751,2651,2599,2004,
14204118,Nodirbek Abdusattorov,GM,UZB,2748,2717,2769,2004,
24116068,Anish Giri,GM,NED,2746,2685,2703,1994,
13300474,Levon Aronian,GM,USA,2744,2747,2777,1982,
5000017,Viswanathan Anand,GM,IND,2743,2727,2732,1969,
4168119,Ian Nepomniachtchi,GM,RUS,2742,2762,2802,1990,
13401319,Shakhriyar Mamedyarov,GM,AZE,2741,2701,2676,1985,
3503240,Leinier Dominguez Perez,GM,USA,2738,2703,2629,1983,
623539,Maxime Vachier-Lagrave,GM,FRA,2738,2731,2763,1990,
8603677,Liren Ding,GM,CHN,2734,2766,2757,1992,
2093596,Hans Moke Niemann,GM,USA,2733,2621,2734,2003,
24130737,Vladimir Fedoseev,GM,SLO,2731,2741,2754,1995,
12401137,Quang Liem Le,GM,VIE,2729,2650,2704,1991,
1170546,Jan-Krzysztof Duda,GM,POL,2729,2711,2752,1998,
14205483,Javokhir Sindarov,GM,UZB,2722,2688,2632,2005,
2900084,Veselin Topalov,GM,BUL,2717,2618,2627,1975,
8603820,Yangyi Yu,GM,CHN,2714,2696,2706,1994,
5029465,Santosh Gujrathi Vidit,GM,IND,2712,2657,2672,1994,
5072786,Chithambaram VR. Aravindh,GM,IND,2711,2590,2627,1999,
738590,Richard Rapport,GM,HUN,2711,2716,2630,1996,
4158814,Dmitry Andreikin,GM,FID,2710,2665,2714,1990,
5007003,Pentala Harikrishna,GM,IND,2704,2621,2632,1986,
8602883,Hao Wang,GM,CHN,2698,2663,2639,1989,
2056437,Awonder Liang,GM,USA,2698,2513,2555,2003,
25092340,Nihal Sarin,GM,IND,2693,2688,2681,2004,
13400924,Teimour Radjabov,GM,AZE,2692,2661,2646,1987,
12539929,Parham Maghsoodloo,GM,IRI,2692,2660,2703,2000,
2040506,Samuel Sevian,GM,USA,2692,2654,2727,2000,
1039784,Jorden Van Foreest,GM,NED,2692,2638,2646,1999,
24126055,Daniil Dubov,GM,RUS,2691,2691,2795,1996,
24175439,Andrey Esipenko,GM,RUS,2687,2626,2660,2002,
24133795,Alexey Sarana,GM,SRB,2686,2632,2705,2000,
8601445,Xiangzhi Bu,GM,CHN,2684,2593,2715,1985,
14102951,Pavel Eljanov,GM,UKR,2682,2594,2623,1983,
4102142,Peter Svidler,GM,FID,2682,2669,2687,1976,
14203987,Nodirbek Yakubboev,GM,UZB,2681,2550,2564,2002,
14200244,Rustam Kasimdzhanov,GM,UZB,2675,2646,2575,1979,
4135539,Kirill Alekseenko,GM,AUT,2674,2614,2615,1997,
2023970,Ray Robson,GM,USA,2674,2652,2632,1994,
1226380,Bogdan-Daniel Deac,GM,ROU,2674,2631,2657,2001,
12521213,M. Amin Tabatabaei,GM,IRI,2673,2562,2567,2001,
24651516,Matthias Bluebaum,GM,GER,2671,2587,2635,1997,
44155573,Volodar Murzin,GM,FID,2670,2642,2645,2006,
2004887,Sam Shankland,GM,USA,2670,2611,2616,1991,
14117908,Igor Kovalenko,GM,UKR,2669,2603,2584,1988,
5074452,Murali Karthikeyan,GM,IND,2669,2520,2525,1999,
410608,David W L Howell,GM,ENG,2668,2613,2574,1990,
4152956,Nikita Vitiugov,GM,ENG,2666,2611,2597,1987,
703303,Peter Leko,GM,HUN,2666,2710,2738,1979,
24101605,Vladislav Artemiev,GM,RUS,2664,2729,2751,1998,
1118358,Radoslaw Wojtaszek,GM,POL,2661,2659,2605,1987,
24125890,Grigoriy Oparin,GM,USA,2660,2612,2676,1997,
358878,Thai Dai Van Nguyen,GM,CZE,2660,2525,2563,2001,
35093487,Raunak Sadhwani,GM,IND,2658,2625,2649,2005,
4126025,Alexander Grischuk,GM,RUS,2657,2676,2676,1983,
14508150,Ivan Saric,GM,CRO,2655,2595,2601,1990,
1512668,Johan-Sebastian Christiansen,GM,NOR,2655,2469,2580,1998,
14129574,Kirill Shevchenko,GM,ROU,,,,2002,
13306766,Shant Sargsyan,GM,ARM,2653,2614,2592,2002,
309095,David Navara,GM,CZE,2653,2602,2639,1985,
2805677,Boris Gelfand,GM,ISR,2652,2621,2583,1968,
13401653,Rauf Mamedov,GM,AZE,2651,2610,2609,1988,
1444948,Jonas Buhl Bjerre,GM,DEN,2651,2570,2511,2004,
4116992,Alexander Morozevich,GM,RUS,2650,2651,2600,1977,
911925,Aleksandar Indjic,GM,SRB,2650,2572,2659,1995,
24131423,Daniil Yuffa,GM,ESP,2648,2492,2532,1997,
